food_name,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,vitamin_c,category,source,protein_ratio,carb_ratio,fat_ratio,protein_fat_ratio,calorie_class,category_encoded
vermicelli upma (semiya/seviyan upma),149.11,3.11,16.88,7.45,3.21,1.4,101.8,20.3,0.93,4.64,Veg,processed,0.1133,0.6152,0.2715,0.4119,1.0,3
soya chunks sweet and sour (nutrinugget sweet and sour),500.94,2.85,3.27,55.99,0.86,1.1,2257.67,13.89,0.7,37.78,Non-Veg,processed,0.0459,0.0526,0.9015,0.0508,3.0,1
jackfruit/kathal (dry),488.97,0.93,4.56,51.78,1.33,3.55,33.68,12.79,0.33,21.72,Non-Veg,processed,0.0162,0.0796,0.9041,0.0179,3.0,1
hot tea (garam chai),16.14,0.39,2.58,0.53,0.0,2.58,3.12,14.2,0.02,0.5,Snacks,processed,0.1114,0.7371,0.1514,0.619,0.0,2
vegetable korma,110.0,3.0,12.5,6.0,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.1395,0.5814,0.2791,0.4918,1.0,3
chicken tikka,220.0,26.0,4.0,10.0,1.0,2.0,580.0,45.0,22.0,18.0,Non-Veg,sheet1,0.65,0.1,0.25,2.5743,2.0,1
aloo paratha,233.33,5.0,33.33,10.0,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.1035,0.6896,0.2069,0.495,2.0,3
pumpkin halwa (kaddu ka halwa),190.27,1.33,27.6,8.81,2.97,26.64,8.09,24.34,0.63,8.08,Non-Veg,processed,0.0352,0.7313,0.2334,0.1493,1.0,1
garlic pickle (lahasun ka achar),413.62,3.72,9.75,39.88,5.13,2.32,269.12,54.66,1.82,7.33,Non-Veg,processed,0.0697,0.1828,0.7475,0.093,3.0,1
baked potato soup,147.05,5.73,5.85,11.21,0.3,3.44,268.69,106.56,0.27,18.93,Veg,processed,0.2514,0.2567,0.4919,0.5066,1.0,3
hot lemon souffle,155.25,5.29,16.31,7.93,0.14,12.07,47.75,48.77,0.55,12.93,Non-Veg,processed,0.1791,0.5523,0.2685,0.6588,1.0,1
spinach pakora/pakoda (palak pakoda),712.62,1.96,4.68,76.38,1.02,0.2,69.54,10.99,0.52,12.12,Non-Veg,processed,0.0236,0.0564,0.92,0.0256,3.0,1
navratan korma,200.0,6.0,18.0,16.0,5.0,12.0,480.0,65.0,15.0,20.0,Veg,sheet1,0.15,0.45,0.4,0.3727,1.0,3
minestrone soup,42.66,9.3,3.71,11.09,1.92,1.01,8875.06,53.55,1.82,19.43,Snacks,processed,0.3859,0.1539,0.4602,0.8311,0.0,2
mixed pulse and vegetable salad,83.12,4.74,13.96,0.84,2.96,1.36,127.78,51.63,2.13,23.82,Veg,processed,0.2426,0.7144,0.043,5.0426,0.0,3
tomato ginger chutney (tamatar adarak ki chutney),44.66,1.05,9.11,0.32,2.14,6.31,209.42,23.63,1.08,3.65,Snacks,processed,0.1002,0.8693,0.0305,2.5,0.0,2
palak chicken,260.0,29.0,8.0,16.0,4.0,3.0,640.0,55.0,22.0,35.0,Non-Veg,sheet1,0.5472,0.1509,0.3019,1.8012,2.0,1
apple crumb pudding,220.85,1.54,35.17,8.87,1.33,27.69,59.36,38.49,1.05,3.6,Non-Veg,processed,0.0338,0.7716,0.1946,0.1717,2.0,1
cashewnut burfi (kaju burfi/kaju katli),421.74,5.48,37.92,28.46,1.12,31.43,4.23,12.95,1.79,0.0,Non-Veg,processed,0.0763,0.5277,0.396,0.1919,3.0,1
vegetable fried rice,110.0,2.5,20.0,3.0,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.098,0.7843,0.1176,0.8065,1.0,3
chilli paneer,777.51,2.1,3.31,84.01,0.5,1.5,89.04,42.9,0.36,4.87,Non-Veg,processed,0.0235,0.037,0.9395,0.025,3.0,1
gulab jamun with milk powder,471.15,0.85,28.24,40.15,0.05,27.04,67.28,26.13,0.13,0.41,Non-Veg,processed,0.0123,0.4079,0.5799,0.0211,3.0,1
potato capsicum (shimla mirch aloo),125.53,1.41,8.72,9.33,2.02,0.54,277.92,16.45,0.86,81.26,Veg,processed,0.0725,0.4481,0.4794,0.1495,1.0,3
pongal,110.0,3.0,17.5,3.5,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.125,0.7292,0.1458,0.8333,1.0,3
pea potato sandwich (toasted) (matar aloo ka sandwich),164.9,4.6,25.17,5.43,2.89,1.33,262.63,64.15,1.11,14.11,Non-Veg,processed,0.1307,0.7151,0.1543,0.8318,1.0,1
lemon chiffon pie,259.31,4.88,27.63,14.52,0.66,11.39,94.95,34.43,0.61,7.18,Dessert,processed,0.1038,0.5875,0.3087,0.3338,2.0,0
semolina ladoo with nuts (suji/rava ladoo with nuts),441.84,5.44,48.02,25.45,4.27,19.79,3.93,18.04,1.81,0.03,Non-Veg,processed,0.0689,0.6085,0.3225,0.2129,3.0,1
paneer kofta curry,670.91,2.39,3.27,72.06,0.4,1.98,121.72,59.49,0.34,17.06,Non-Veg,processed,0.0308,0.0421,0.9272,0.0331,3.0,1
peanut biscuit,401.05,8.45,46.72,20.41,2.48,21.26,202.26,50.58,1.34,0.03,Non-Veg,processed,0.1118,0.6182,0.27,0.412,3.0,1
vegetable soup,55.21,2.22,7.6,1.55,3.01,1.61,170.68,18.1,0.63,6.0,Veg,processed,0.1953,0.6684,0.1363,1.3455,0.0,3
egg sauce,146.85,5.97,5.88,11.08,0.12,3.19,51.54,89.49,0.65,6.0,Veg,processed,0.2604,0.2564,0.4832,0.534,1.0,3
rice dal porridge (chawal dal ki khichdi/khichri),383.33,10.8,65.04,8.33,4.51,26.54,12.33,50.46,2.76,0.0,Dessert,processed,0.1283,0.7727,0.099,1.2811,3.0,0
egg cutlet (anda cutlet),575.02,2.45,5.77,60.25,0.58,0.2,79.4,16.22,0.56,11.07,Non-Veg,processed,0.0358,0.0843,0.8799,0.0406,3.0,1
masala arbi,185.38,3.01,16.16,11.9,3.1,0.81,261.31,32.08,0.99,1.9,Non-Veg,processed,0.0969,0.5201,0.383,0.2508,1.0,1
home made egg noodles,240.84,6.55,42.92,4.37,1.6,1.03,177.24,15.96,1.15,0.0,Non-Veg,processed,0.1217,0.7972,0.0812,1.4653,2.0,1
mal pua,566.68,1.71,17.56,54.64,0.62,11.77,6.35,30.05,0.33,0.67,Non-Veg,processed,0.0231,0.2376,0.7393,0.0312,3.0,1
onion pakora/pakoda (pyaaz ke pakode),674.61,1.9,5.41,71.84,1.11,0.88,63.55,7.95,0.36,5.36,Non-Veg,processed,0.024,0.0684,0.9076,0.0264,3.0,1
pin wheel biscuit,404.6,5.4,54.56,18.66,1.16,23.25,131.73,42.7,1.13,0.05,Non-Veg,processed,0.0687,0.694,0.2373,0.2878,3.0,1
apple snowballs,101.51,0.86,24.58,0.31,1.25,19.4,12.8,9.43,0.18,4.46,Veg,processed,0.0334,0.9546,0.012,2.0976,1.0,3
kadhi,120.0,6.0,14.0,6.0,2.0,4.0,280.0,80.0,3.0,5.0,Veg,sheet1,0.2308,0.5385,0.2308,0.9836,1.0,3
karanji,320.0,8.0,40.0,18.0,4.0,25.0,180.0,40.0,10.0,8.0,Dessert,sheet1,0.1212,0.6061,0.2727,0.442,2.0,0
soya chikki,423.7,7.18,62.89,15.51,3.55,45.47,17.24,81.25,4.47,0.0,Non-Veg,processed,0.0839,0.7349,0.1812,0.46,3.0,1
rainbow sandwich,272.75,7.75,34.26,12.54,2.1,4.05,612.49,172.04,1.2,1.01,Dessert,processed,0.1421,0.628,0.2299,0.6131,2.0,0
tandoori roti,300.0,8.0,50.0,4.0,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.129,0.8065,0.0645,1.9512,2.0,3
mushroom and cheese sandwich (toasted),227.42,7.79,21.01,13.01,2.28,2.11,456.57,172.35,0.84,0.0,Non-Veg,processed,0.1863,0.5025,0.3112,0.5942,2.0,1
pesarattu,133.33,4.0,20.0,4.67,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.1395,0.6976,0.1629,0.8386,1.0,3
washed urad dal (dhuli urad ki dal),61.32,2.51,5.84,2.98,1.53,0.32,142.21,10.24,0.72,0.99,Veg,processed,0.2215,0.5154,0.263,0.8149,0.0,3
spaghetti with paneer balls and tomato sauce,158.54,3.95,12.72,10.44,1.25,3.03,199.55,80.73,0.55,44.09,Non-Veg,processed,0.1457,0.4692,0.3851,0.3748,1.0,1
orange omelette/omlet,194.66,8.93,1.68,16.84,0.0,1.68,340.92,37.33,1.26,7.2,Non-Veg,processed,0.3253,0.0612,0.6135,0.5272,1.0,1
boondi raita,687.72,2.19,3.96,73.83,0.46,1.88,99.18,49.0,0.24,0.77,Non-Veg,processed,0.0274,0.0495,0.9231,0.0296,3.0,1
vermicelli porridge (semiya/seviyan porridge),78.4,2.5,10.56,2.98,0.48,7.04,65.33,72.96,0.2,4.82,Veg,processed,0.1559,0.6584,0.1858,0.8117,0.0,3
vegetable and cheese pie,126.88,4.03,8.76,8.28,1.91,2.69,117.99,99.48,0.58,55.0,Veg,processed,0.1913,0.4158,0.393,0.4809,1.0,3
vegetable cutlet,665.45,1.25,4.68,71.33,0.93,0.35,85.38,13.55,0.4,16.89,Non-Veg,processed,0.0162,0.0606,0.9232,0.0175,3.0,1
mutton yakhni,104.13,8.27,0.84,7.7,0.67,0.13,101.02,88.61,1.66,0.09,Veg,processed,0.492,0.05,0.4581,1.0603,1.0,3
dal stuffed poori,785.16,2.08,10.14,81.69,1.96,0.29,128.18,6.88,0.83,0.42,Non-Veg,processed,0.0221,0.108,0.8699,0.0254,3.0,1
cranberry cookies,272.48,3.92,36.39,12.66,1.13,19.96,58.25,36.16,0.71,5.52,Dessert,processed,0.074,0.687,0.239,0.3072,2.0,0
cauliflower parantha/paratha (phoolgobhi ka parantha/paratha),178.07,3.73,18.84,9.47,4.68,1.15,190.03,22.0,1.59,17.61,Non-Veg,processed,0.1164,0.588,0.2956,0.3898,1.0,1
khandvi,120.0,10.0,18.0,6.0,2.0,3.0,380.0,25.0,5.0,1.0,Snacks,sheet1,0.2941,0.5294,0.1765,1.6393,1.0,2
gajar halwa,250.0,4.0,35.0,12.0,1.44,3.0,116.38,40.11,0.9,6.0,Dessert,nutrition_dataset,0.0784,0.6863,0.2353,0.3306,2.0,0
cheese pizza,249.5,5.79,30.62,12.43,1.95,3.42,397.73,96.51,1.09,6.72,Non-Veg,processed,0.1186,0.6269,0.2545,0.4621,2.0,1
semolina porridge (suji/rava daliya),100.89,3.75,12.39,4.08,0.7,7.54,23.21,108.52,0.36,5.03,Veg,processed,0.1855,0.6128,0.2018,0.8971,1.0,3
sweet plain biscuit,380.76,5.86,50.29,17.67,1.07,21.77,132.59,42.88,0.92,0.03,Dessert,processed,0.0794,0.6813,0.2394,0.3298,3.0,0
mutton do piaza,183.3,9.39,4.14,14.41,1.93,2.9,118.62,118.61,1.63,7.42,Non-Veg,processed,0.3361,0.1482,0.5157,0.6471,1.0,1
kaalan,120.0,3.0,14.0,8.0,5.0,6.0,340.0,55.0,8.0,20.0,Veg,sheet1,0.12,0.56,0.32,0.3704,1.0,3
cold pineapple souffle,181.22,6.23,16.85,10.39,0.0,14.99,49.38,57.13,0.54,1.88,Non-Veg,processed,0.1861,0.5034,0.3104,0.5939,1.0,1
greenpea cookies,159.42,6.53,23.07,4.24,5.32,14.45,229.9,48.45,1.47,16.8,Non-Veg,processed,0.193,0.6817,0.1253,1.5046,1.0,1
lemon squash (nimbu ka squash),184.56,0.15,48.88,0.06,0.0,48.88,15.01,9.85,0.18,6.0,Non-Veg,processed,0.0031,0.9957,0.0012,0.9375,1.0,1
sabudana khichdi,180.0,4.0,32.0,6.0,2.0,4.0,240.0,15.0,4.0,3.0,Veg,sheet1,0.0952,0.7619,0.1429,0.6557,1.0,3
tossed salad,62.96,1.02,4.95,4.22,2.15,1.56,77.5,32.37,0.86,85.7,Veg,processed,0.1001,0.4858,0.4141,0.2361,0.0,3
baked egg,218.85,11.88,15.42,12.65,1.03,1.66,523.29,164.05,1.48,0.0,Non-Veg,processed,0.2974,0.386,0.3166,0.9318,2.0,1
chicken korma,290.0,28.0,6.0,22.0,2.0,3.0,820.0,48.0,25.0,12.0,Non-Veg,sheet1,0.5,0.1071,0.3929,1.267,2.0,1
roti,270.0,9.0,50.0,4.0,8.0,2.0,380.0,25.0,2.0,0.0,Veg,sheet1,0.1429,0.7937,0.0635,2.1951,2.0,3
mayonnaise,774.86,1.86,1.65,84.52,0.11,1.44,272.89,15.36,0.51,6.0,Non-Veg,processed,0.0211,0.0187,0.9601,0.022,3.0,1
moong dal stuffed cheela/chilla (moong dal ka cheela/chilla),154.89,6.97,19.42,5.11,4.25,1.11,267.23,39.34,2.22,34.81,Non-Veg,processed,0.2213,0.6165,0.1622,1.3378,1.0,1
sweet lemon pickle (neembu ka meetha achaar),69.54,1.22,16.87,0.21,2.13,14.63,6415.9,42.57,1.02,6.0,Veg,processed,0.0667,0.9219,0.0115,3.9355,0.0,3
vegetable biryani,120.0,3.2,20.0,3.2,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.1212,0.7576,0.1212,0.9697,1.0,3
navratan pulao,261.71,6.2,36.98,9.45,3.82,2.52,334.26,59.61,1.1,12.89,Dessert,processed,0.1178,0.7026,0.1796,0.6492,2.0,0
mint and peanut raita (pudinay aur moongfali ka raita),112.05,7.05,7.31,6.19,1.79,6.17,223.01,191.01,1.68,6.06,Veg,processed,0.3431,0.3557,0.3012,1.1208,1.0,3
lemon souffle,168.51,6.95,13.43,10.02,0.0,11.67,50.73,59.81,0.56,12.9,Non-Veg,processed,0.2286,0.4418,0.3296,0.6868,1.0,1
minced meat ball curry,109.79,6.82,2.86,7.85,1.49,1.27,170.06,23.84,1.01,20.62,Veg,processed,0.389,0.1631,0.4478,0.8579,1.0,3
fish pie,120.9,9.25,7.74,5.77,0.76,1.13,101.8,36.15,0.46,27.02,Veg,processed,0.4064,0.3401,0.2535,1.5758,1.0,3
wheat flakes,112.44,3.62,15.57,3.99,0.37,7.28,22.4,103.15,0.62,4.82,Veg,processed,0.1562,0.6717,0.1721,0.8851,1.0,3
pineapple souffle,196.14,8.06,15.52,11.72,0.0,13.45,59.17,67.23,0.61,1.0,Non-Veg,processed,0.2283,0.4397,0.332,0.6819,1.0,1
raw papaya with coconut (papaya thoran),132.75,1.54,5.58,11.42,4.31,3.82,270.56,33.74,0.82,25.38,Veg,processed,0.0831,0.301,0.616,0.1337,1.0,3
beetroot and egg salad (chukandar aur ande ka salad),84.92,3.36,3.4,6.45,0.55,1.97,110.12,18.13,0.55,6.0,Veg,processed,0.2544,0.2574,0.4883,0.513,0.0,3
ribbon sandwich,239.26,6.26,24.76,13.37,2.92,4.66,382.11,157.85,1.05,4.55,Non-Veg,processed,0.141,0.5578,0.3012,0.4647,2.0,1
hot cocoa,90.1,3.36,9.23,4.56,0.0,9.01,24.2,113.66,0.31,3.62,Veg,processed,0.1959,0.5382,0.2659,0.721,0.0,3
curried cauliflower soup,37.32,6.72,3.12,9.77,2.34,1.79,7311.44,37.25,2.12,51.86,Snacks,processed,0.3427,0.1591,0.4982,0.6809,0.0,2
meat and macaroni casserole,161.55,9.15,16.12,10.17,1.19,1.0,2511.99,68.28,1.85,29.03,Non-Veg,processed,0.2582,0.4549,0.287,0.8909,1.0,1
carrot apple sandwich (gajar aur seb ka sandwich),214.11,5.3,29.04,9.12,3.66,5.3,302.88,118.05,1.8,2.7,Non-Veg,processed,0.122,0.6682,0.2098,0.5748,2.0,1
green tomato pickle (haray tamatar ka achaar),193.26,1.23,2.87,19.67,1.74,0.77,159.18,14.22,0.77,8.21,Non-Veg,processed,0.0517,0.1207,0.8275,0.0622,1.0,1
semolina carrot vada (suji gajar vada),699.53,1.56,6.52,74.07,1.07,1.21,73.17,26.47,0.36,0.95,Non-Veg,processed,0.019,0.0794,0.9016,0.021,3.0,1
chocolate biscuit,379.76,5.88,51.56,17.09,1.01,24.16,127.02,41.51,1.14,0.03,Dessert,processed,0.0789,0.6918,0.2293,0.3421,3.0,0
stuffed bittergourd (wet) (bharwa karele),162.36,1.36,4.68,15.24,2.86,1.95,360.09,17.25,0.91,46.93,Non-Veg,processed,0.0639,0.2199,0.7162,0.0887,1.0,1
buttermilk biscuit,322.54,5.76,34.93,17.5,1.18,3.44,323.74,67.16,0.77,0.0,Dessert,processed,0.099,0.6003,0.3007,0.3273,2.0,0
dundee cake,396.62,7.78,41.4,22.7,1.81,21.3,182.74,58.11,1.57,0.07,Dessert,processed,0.1082,0.576,0.3158,0.3412,3.0,0
fish finger,542.9,5.66,4.47,55.82,0.34,0.17,103.55,11.38,0.38,14.13,Non-Veg,processed,0.0858,0.0678,0.8464,0.1012,3.0,1
fruit puree tart,286.5,3.35,30.42,16.83,1.31,9.79,49.65,19.64,0.63,2.6,Dessert,processed,0.0662,0.6012,0.3326,0.1979,2.0,0
charlotte rousse,188.29,3.95,34.08,4.78,1.01,20.48,56.45,34.95,0.53,25.28,Non-Veg,processed,0.0923,0.7961,0.1117,0.8094,1.0,1
fish curry (rohu),110.0,9.0,4.0,6.0,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.4737,0.2105,0.3158,1.4754,1.0,3
dry potato (sookhe aloo),103.15,1.62,14.38,4.18,1.88,0.33,199.99,17.2,0.83,23.23,Veg,processed,0.0803,0.7126,0.2071,0.3785,1.0,3
chocolate cream shells,427.17,5.1,59.26,19.34,0.9,34.72,126.84,28.53,1.08,0.0,Non-Veg,processed,0.0609,0.708,0.2311,0.2623,3.0,1
rich chocolate mousse,188.26,7.96,10.84,12.19,0.0,10.3,51.71,54.59,0.97,0.7,Non-Veg,processed,0.2569,0.3498,0.3934,0.6477,1.0,1
apple banana pie,243.99,3.13,32.12,11.39,1.89,12.96,384.43,21.23,0.79,8.88,Non-Veg,processed,0.0671,0.6887,0.2442,0.2724,2.0,1
dry masala chops,135.07,9.08,3.3,9.54,0.86,2.27,83.47,112.25,1.39,1.87,Veg,processed,0.4142,0.1505,0.4352,0.9419,1.0,3
fruit salad (phalon ka salaad),78.14,0.91,15.96,1.22,1.58,9.78,7.11,25.93,0.81,52.45,Veg,processed,0.0503,0.8823,0.0674,0.6894,0.0,3
cream of potato soup,60.2,8.1,6.14,12.05,1.51,1.24,8503.99,51.97,1.7,28.86,Veg,processed,0.3081,0.2335,0.4583,0.6667,0.0,3
whole moth (moth ki dal),55.0,2.01,5.74,2.62,1.85,0.66,125.08,18.98,0.95,11.04,Veg,processed,0.1938,0.5535,0.2527,0.739,0.0,3
khakhra chaat,358.66,4.52,16.64,30.65,3.04,3.26,102.78,24.49,1.26,46.67,Dessert,processed,0.0872,0.3212,0.5916,0.147,3.0,0
egg drop soup,26.64,12.93,1.1,13.52,0.81,0.6,12418.84,100.14,3.93,8.51,Snacks,processed,0.4693,0.0399,0.4907,0.9493,0.0,2
rajma,130.0,8.0,21.0,3.0,9.0,2.0,400.0,40.0,4.0,4.0,Veg,sheet1,0.25,0.6562,0.0938,2.5806,1.0,3
mango pickle,120.0,1.0,12.0,8.0,4.0,8.0,1800.0,15.0,8.0,25.0,Snacks,sheet1,0.0476,0.5714,0.381,0.1235,1.0,2
low calorie quick mayonnaise,242.89,1.41,4.71,24.35,0.06,0.83,165.94,6.47,0.25,6.0,Non-Veg,processed,0.0463,0.1546,0.7991,0.0577,2.0,1
chocolate souffle,189.32,7.88,14.74,11.36,0.0,12.69,56.07,71.55,0.71,1.3,Non-Veg,processed,0.2319,0.4338,0.3343,0.6876,1.0,1
khoa coconut burfi,411.45,9.98,36.55,26.01,4.07,35.6,31.14,309.84,2.1,0.0,Non-Veg,processed,0.1376,0.5039,0.3586,0.3822,3.0,1
raw banana kofta curry (kela kofta curry),627.27,0.62,3.4,67.98,0.59,2.3,88.4,9.23,0.28,23.63,Non-Veg,processed,0.0086,0.0472,0.9442,0.0091,3.0,1
lentils and wheat porridge (dal wheat porridge/daliya ),52.54,2.71,8.36,0.94,1.28,0.92,62.79,26.28,0.52,0.6,Veg,processed,0.2256,0.6961,0.0783,2.6058,0.0,3
chocolate ice cream,177.7,4.47,15.41,11.25,0.0,15.33,36.79,84.24,0.47,4.06,Non-Veg,processed,0.1436,0.495,0.3614,0.3938,1.0,1
pineapple jam,149.18,0.32,38.27,0.15,2.2,37.44,2.45,10.47,0.24,6.0,Veg,processed,0.0083,0.9879,0.0039,1.28,1.0,3
plain omelette/omlet,272.41,9.66,0.64,25.74,0.12,0.51,226.18,48.4,1.35,0.3,Dessert,processed,0.268,0.0178,0.7142,0.3738,2.0,0
bhindi masala,90.0,2.0,10.0,5.0,1.44,3.0,116.38,40.11,0.9,6.0,Veg,nutrition_dataset,0.1176,0.5882,0.2941,0.3922,0.0,3
coconut pickle (nariyal ka aachar),517.26,3.02,11.53,51.71,6.35,8.98,176.54,44.78,2.62,1.71,Non-Veg,processed,0.0456,0.174,0.7804,0.0583,3.0,1
dry mango chutney (sookhe aam ki chutney),298.13,2.43,69.17,0.7,3.74,61.86,437.91,72.05,3.98,0.25,Dessert,processed,0.0336,0.9567,0.0097,3.0375,2.0,0
black forest gateau,217.82,5.94,30.57,8.58,0.28,21.97,79.37,46.79,1.09,143.5,Non-Veg,processed,0.1317,0.678,0.1903,0.6843,2.0,1
vegetable namkeen jave,112.23,2.93,18.98,2.51,2.86,1.04,32.13,10.32,1.07,12.45,Veg,processed,0.12,0.7772,0.1028,1.1226,1.0,3
onion tomato baghar (pyaaz tamatar ka tadka),137.52,1.26,6.17,11.98,2.12,3.51,31.33,20.45,0.63,6.0,Veg,processed,0.0649,0.3179,0.6172,0.1043,1.0,3
whole urad (urad ki dal),53.8,2.21,5.05,2.62,2.32,0.57,126.12,13.07,0.78,10.28,Veg,processed,0.2237,0.5111,0.2652,0.8125,0.0,3
watercress sandwich,229.42,5.17,28.03,11.47,2.26,1.81,407.44,98.16,0.99,2.23,Non-Veg,processed,0.1157,0.6275,0.2568,0.4468,2.0,1
black channa curry/bengal gram curry (kale chane ki curry),140.68,5.67,14.11,6.61,7.99,2.36,358.63,53.87,2.43,15.13,Veg,processed,0.2149,0.5347,0.2505,0.845,1.0,3
coffee ice cream,150.62,3.15,14.09,9.43,0.0,13.35,42.09,95.72,0.15,2.16,Non-Veg,processed,0.1181,0.5283,0.3536,0.3305,1.0,1
crunchy butterscotch,277.32,3.11,19.92,20.99,0.47,17.73,22.24,72.26,0.26,2.13,Dessert,processed,0.0706,0.4525,0.4768,0.1475,2.0,0
semolina cake (suji/rava cake),374.14,6.58,31.32,25.18,5.37,18.86,91.36,128.28,1.36,0.94,Dessert,processed,0.1043,0.4965,0.3992,0.2603,3.0,0
tomato and cucumber sandwich (tamatar aur kheere ka sandwich),150.68,4.03,20.51,6.31,2.1,1.79,222.22,76.75,1.15,7.12,Non-Veg,processed,0.1306,0.6648,0.2045,0.6287,1.0,1
spinach soup (palak ka soup),32.59,10.54,3.03,14.26,1.98,0.29,12088.21,56.23,2.68,30.99,Snacks,processed,0.3787,0.1089,0.5124,0.734,0.0,2
bottle gourd raita (ghiya/lauki ka raita),56.31,3.98,5.76,2.07,0.85,5.25,188.37,138.26,0.23,4.76,Veg,processed,0.337,0.4877,0.1753,1.8341,0.0,3
gooseberry pickle (amla ka achaar),278.58,1.55,7.61,27.61,3.7,0.36,86.38,31.17,1.04,4.85,Dessert,processed,0.0422,0.207,0.7509,0.0559,2.0,0
chickpea flour cookies (sweet besan rounds/cookies),207.01,4.29,39.64,3.42,2.56,30.66,22.29,54.95,2.16,0.39,Non-Veg,processed,0.0906,0.8372,0.0722,1.2188,2.0,1
fried egg,223.67,11.59,0.31,19.62,0.29,0.0,446.96,46.4,1.69,0.0,Non-Veg,processed,0.3677,0.0098,0.6225,0.5877,2.0,1
pav bhaji,240.0,8.0,32.0,12.0,6.0,8.0,680.0,40.0,12.0,45.0,Veg,sheet1,0.1538,0.6154,0.2308,0.6612,2.0,3
misal pav,200.0,12.0,24.0,8.0,8.0,6.0,720.0,60.0,18.0,35.0,Veg,sheet1,0.2727,0.5455,0.1818,1.4815,1.0,3
handvo,220.0,12.0,28.0,10.0,5.0,5.0,420.0,40.0,12.0,8.0,Snacks,sheet1,0.24,0.56,0.2,1.1881,2.0,2
creamed spinach and mushroom,419.62,2.28,3.17,44.14,1.02,1.17,90.21,65.49,0.9,48.37,Non-Veg,processed,0.046,0.0639,0.8901,0.0515,3.0,1
almond cardamom cake (badam elaichi cake),356.35,7.18,34.53,21.36,2.35,18.06,155.37,81.29,1.29,0.37,Dessert,processed,0.1138,0.5475,0.3387,0.3346,3.0,0
salami sandwich,255.59,8.7,21.54,15.51,1.97,2.0,662.75,73.54,1.11,1.25,Dessert,processed,0.1902,0.4708,0.339,0.5573,2.0,0
chicken fried rice,280.0,18.0,30.0,14.0,2.0,4.0,650.0,35.0,18.0,15.0,Non-Veg,sheet1,0.2903,0.4839,0.2258,1.2766,2.0,1
hot vanilla souffle,192.93,6.87,21.77,9.07,0.13,18.17,59.59,63.2,0.93,0.9,Non-Veg,processed,0.1822,0.5773,0.2405,0.7492,1.0,1
kappa,160.0,2.0,36.0,4.0,4.0,2.0,240.0,30.0,8.0,25.0,Veg,sheet1,0.0476,0.8571,0.0952,0.4878,1.0,3
al yakhani,147.54,2.86,4.65,13.14,1.27,3.56,206.24,103.88,0.46,5.41,Veg,processed,0.1385,0.2252,0.6363,0.216,1.0,3
boti kebab,132.86,9.22,3.06,9.27,0.76,2.09,78.14,98.67,1.41,4.52,Veg,processed,0.4278,0.142,0.4302,0.984,1.0,3
cauliflower musallam (phoolgobhi musallam),58.83,1.89,4.48,3.55,3.06,1.71,123.36,24.61,0.83,71.44,Veg,processed,0.1905,0.4516,0.3579,0.5178,0.0,3
cheese and tomato sandwich (cheese aur tamatar ke sandwich),243.32,7.92,26.92,12.27,1.97,2.85,549.71,191.2,1.0,3.16,Non-Veg,processed,0.1681,0.5714,0.2605,0.6403,2.0,1
cauliflower kofta curry (phoolgobhi kofta curry),641.1,1.04,2.62,69.62,1.0,0.83,93.65,12.26,0.4,53.98,Non-Veg,processed,0.0142,0.0358,0.9501,0.0149,3.0,1
egg and tomato sandwich (ande aur tamatar ka sandwich),222.11,7.66,25.9,10.51,1.77,2.09,423.26,95.71,1.3,1.98,Non-Veg,processed,0.1738,0.5877,0.2385,0.722,2.0,1
spanish omelette/omlet,157.45,8.25,5.1,11.44,2.54,1.03,233.87,31.72,1.28,28.63,Non-Veg,processed,0.3328,0.2057,0.4615,0.7149,1.0,1
choconut ice cream,273.96,5.04,23.13,18.49,0.51,21.02,29.83,67.38,0.89,2.17,Dessert,processed,0.108,0.4957,0.3963,0.2711,2.0,0
semolina upma (suji/rava upma),147.89,3.3,16.31,7.49,3.24,1.31,101.59,21.57,1.1,4.64,Veg,processed,0.1218,0.6018,0.2764,0.4348,1.0,3
orange souffle,168.28,6.8,14.2,9.73,0.22,12.31,49.22,59.04,0.65,19.16,Non-Veg,processed,0.2213,0.4621,0.3166,0.6918,1.0,1
puffy omelette/omlet,188.15,8.82,0.08,16.84,0.0,0.08,340.53,34.96,1.2,0.0,Non-Veg,processed,0.3427,0.0031,0.6542,0.5207,1.0,1
coffee biscuit,416.57,6.9,46.55,23.0,1.59,21.69,112.53,48.92,1.27,0.03,Non-Veg,processed,0.0903,0.6089,0.3009,0.2987,3.0,1
jackfruit fritters (ponsa mulik/kathal ka pakora),597.79,2.34,24.0,54.41,1.5,11.48,46.39,24.62,1.15,0.32,Non-Veg,processed,0.029,0.2972,0.6738,0.0429,3.0,1
